Nombre,Género,Fecha_Nacimiento,Altura,Peso,Profesión,Ciudad,Estado_Civil,Salario,Nivel_Educación,Cantidad_Hijos,Hora_Entrada,Hora_Salida,Tipo_Contrato
Pedro,F,1961-11-03,1.48,70.1,Chief Design Engineer,Sincelejo,Divorciado,1375615,Universitario,7,7:41 AM,10:27 PM,Término Fijo
María,F,1990-11-15,1.79,49.8,Administrative Assistant IV,Floridablanca,Soltero,3492939,Técnico,2,5:15 AM,6:53 PM,Indefinido
Diego,M,1968-07-21,1.54,100.5,Account Executive,Girón,Divorciado,5886690,Universitario,6,5:02 AM,6:42 PM,Término Fijo
Juan,F,1997-10-05,1.71,54.1,VP Sales,Barrancabermeja,Soltero,4282484,Posgrado,1,7:10 AM,5:40 PM,Indefinido
Bruno,F,1955-06-09,1.77,52.9,Clinical Specialist,Maicao,Divorciado,1495525,Posgrado,2,5:48 AM,8:56 PM,Indefinido
Joaquín,F,1967-08-01,1.9,49.4,Registered Nurse,Bucaramanga,Divorciado,1028356,Posgrado,1,7:27 AM,11:32 PM,Término Fijo
Emanuel,M,1971-07-24,1.42,46.7,Geologist IV,Maicao,Soltero,4117249,Técnico,8,6:16 AM,7:10 PM,Término Fijo
Joaquín,M,1994-04-17,1.56,95.6,Food Chemist,Chía,Divorciado,5764315,Técnico,2,5:21 AM,11:52 PM,Término Fijo
Mateo,F,1990-11-24,1.53,43.1,Compensation Analyst,Armenia,Divorciado,5840435,Universitario,1,5:16 AM,7:52 PM,Indefinido
Matías,M,1950-04-03,1.8,63.2,Research Assistant II,Girón,Divorciado,1148390,Posgrado,0,6:12 AM,6:23 PM,Término Fijo
Matías,M,1999-01-09,1.8,93.4,Research Nurse,Fusagasugá,Casada,2387546,Universitario,3,8:01 AM,11:29 PM,Indefinido
Juan,M,1963-09-09,1.41,95.0,Budget/Accounting Analyst I,Magangué,Divorciado,4726954,Bachillerato,8,5:11 AM,6:40 PM,Término Fijo
Thiago,F,1954-09-19,1.53,39.4,Accountant I,Medellín,Soltero,2410332,Bachillerato,3,9:24 AM,8:50 PM,Término Fijo
Lucas,M,1981-08-24,1.51,31.9,Community Outreach Specialist,Soacha,Casada,5830732,Bachillerato,2,9:54 AM,6:21 PM,Término Fijo
Joaquín,F,1985-02-05,1.81,96.4,Senior Sales Associate,Arauca,Casada,1846937,Universitario,5,9:31 AM,6:32 PM,Término Fijo
Thiago,M,1986-12-05,1.89,62.4,Database Administrator I,Pereira,Divorciado,4462233,Técnico,3,7:31 AM,7:23 PM,Término Fijo
Felipe,M,1986-09-12,1.86,73.4,Structural Engineer,Sogamoso,Divorciado,1245774,Universitario,5,8:01 AM,8:40 PM,Término Fijo
Juan,F,1996-12-13,1.88,104.9,Quality Control Specialist,Dosquebradas,Soltero,5017269,Posgrado,4,6:07 AM,5:32 PM,Indefinido
Bruno,F,1995-01-10,1.72,54.0,Electrical Engineer,Sincelejo,Soltero,1524694,Técnico,3,8:35 AM,9:58 PM,Indefinido
